destination_id,destination_city,country,region,avg_annual_temp_c,seasonal_range_c,dry_season_months,cost_per_day_avg_usd,meal_budget_usd,hotel_night_avg_usd,flight_cost_usd,museum_count,monument_count,festival_score,beach_score,scenic_score,wellness_score,culture_score,hiking_score,nightlife_score,family_score,luxury_score,safety_score,tourist_density_score,adventure_sports_score,near_mountains,near_beach,best_season,visa_requirement,english_friendly_score,public_transport_score,latitude,longitude,source_label_hint,travel_style
DST-0001,Bali,Indonesia,Asia,27,12,April-October,45,3,25,1200,15,20,9,9,9,8,8,9,7,6,6,7,8,8,1,1,May-September,visa_free,6,5,-8.4095,115.1889,"Beaches, temples, rice terraces, hiking",Adventure
DST-0002,Swiss Alps,Switzerland,Europe,2,30,June-September,120,15,80,800,50,30,8,3,10,9,8,9,6,5,8,9,9,9,1,0,June-September,visa_free,7,9,46.8182,8.2275,"Alps, skiing, hiking, luxury resorts",Adventure
DST-0003,Kyoto,Japan,Asia,15,25,October-November,80,8,60,1000,50,30,10,4,8,7,10,6,7,6,7,8,9,8,6,0,0,March-May,visa_free,5,9,35.0116,135.7680,"Temples, gardens, geisha culture, festivals",Culture
DST-0004,Paris,France,Europe,12,20,April-October,120,15,100,800,130,50,9,2,8,7,10,2,8,6,8,6,7,7,3,0,0,April-October,visa_free,6,9,48.8566,2.3522,"Eiffel Tower, Louvre, Notre-Dame, cafes",Culture
DST-0005,Bangkok,Thailand,Asia,28,10,November-February,45,3,25,900,20,15,9,3,6,8,7,3,9,8,5,6,6,7,7,0,1,November-February,visa_on_arrival,8,8,13.7367,100.5231,"Temples, street food, nightlife, markets",Culture
DST-0006,New York City,USA,North America,12,25,April-October,150,15,200,300,80,40,8,5,7,6,8,3,9,6,8,6,6,6,5,0,0,April-October,evisa,9,9,40.7128,-74.0060,"Broadway, museums, Central Park, skyscrapers",Culture
DST-0007,Cairo,Egypt,Africa,22,15,October-April,50,4,30,1000,30,25,7,2,6,4,9,2,6,5,5,5,5,6,3,0,0,October-April,visa_required,5,5,30.0444,31.2357,"Pyramids, Sphinx, Egyptian Museum, Nile",Culture
DST-0008,Istanbul,Turkey,Europe,14,20,April-October,60,6,50,900,40,35,8,5,8,7,9,4,8,6,7,6,6,7,5,0,0,April-October,evisa,6,8,41.0082,28.9784,"Hagia Sophia, Grand Bazaar, Bosphorus, mosques",Culture
DST-0008,Istanbul,Turkey,Europe,14,20,April-October,60,6,50,900,40,35,8,5,8,7,9,4,8,6,7,6,6,7,5,0,0,April-October,evisa,6,8,41.0082,28.9784,"Hagia Sophia, Grand Bazaar, Bosphorus, mosques",Culture
DST-0009,Rome,Italy,Europe,15,18,April-October,90,12,100,700,60,50,9,4,8,6,10,3,8,7,8,7,6,7,4,0,0,April-October,visa_free,7,8,41.9028,12.4964,"Colosseum, Vatican, Forum, fountains, pasta",Culture
DST-0010,Phuket,Thailand,Asia,27,8,November-April,50,4,40,1100,5,10,8,9,8,9,5,5,8,7,4,7,7,8,6,0,1,November-April,visa_on_arrival,6,6,7.8804,98.3923,"Beaches, islands, parties, diving",Relaxation
